sigma,T_each_dim,n_picewise_models,page_size,tau,status,tempo_execucao
1,1,1,1,1,Sucesso,75.98346781730652
1,1,1,1,101,Sucesso,75.60129404067993
1,1,1,1,201,Sucesso,74.11776089668274
1,1,1,1,301,Sucesso,74.27568912506104
1,1,1,1,401,Sucesso,74.02834582328796
1,1,1,1,501,Sucesso,79.84066319465637
1,1,1,1,601,Sucesso,82.88765001296997
1,1,1,1,701,Sucesso,81.97812247276306
1,1,1,1,801,Sucesso,77.30171632766724
1,1,1,1,901,Sucesso,77.25836777687073
1,1,1,1,1001,Sucesso,83.62587547302246
1,1,1,101,1,Sucesso,69.3610155582428
1,1,1,101,101,Sucesso,69.49270057678223
1,1,1,101,201,Sucesso,69.48381304740906
1,1,1,101,301,Sucesso,72.59318447113037
1,1,1,101,401,Sucesso,65.85224795341492
1,1,1,101,501,Sucesso,64.657790184021
1,1,1,101,601,Sucesso,65.36726975440979
1,1,1,101,701,Sucesso,66.2201919555664
1,1,1,101,801,Sucesso,66.33187079429626
1,1,1,101,901,Sucesso,65.63041996955872
1,1,1,101,1001,Sucesso,65.40694689750671
1,1,1,201,1,Sucesso,65.030113697052
1,1,1,201,101,Sucesso,65.88664364814758
1,1,1,201,201,Sucesso,66.79796195030212
1,1,1,201,301,Sucesso,66.48621320724487
1,1,1,201,401,Sucesso,66.6185781955719
1,1,1,201,501,Sucesso,65.47892189025879
1,1,1,201,601,Sucesso,65.69022417068481
1,1,1,201,701,Sucesso,65.39480757713318
1,1,1,201,801,Sucesso,66.4434323310852
1,1,1,201,901,Sucesso,65.69939589500427
1,1,1,201,1001,Sucesso,65.77833199501038
1,1,1,301,1,Sucesso,66.17605090141296
1,1,1,301,101,Sucesso,67.17091012001038
1,1,1,301,201,Sucesso,64.58683633804321
1,1,1,301,301,Sucesso,65.26607537269592
1,1,1,301,401,Sucesso,66.35560154914856
1,1,1,301,501,Sucesso,66.61578416824341
1,1,1,301,601,Sucesso,65.47258996963501
1,1,1,301,701,Sucesso,65.86187601089478
1,1,1,301,801,Sucesso,67.2677309513092
1,1,1,301,901,Sucesso,76.92304420471191
1,1,1,301,1001,Sucesso,68.64470934867859
1,1,1,401,1,Sucesso,69.66434383392334
1,1,1,401,101,Sucesso,69.21547865867615
1,1,1,401,201,Sucesso,70.56995987892151
1,1,1,401,301,Sucesso,69.0969295501709
1,1,1,401,401,Sucesso,64.75226163864136
1,1,1,401,501,Sucesso,69.3221664428711
1,1,1,401,601,Sucesso,65.7631676197052
1,1,1,401,701,Sucesso,64.72201561927795
1,1,1,401,801,Sucesso,65.83623099327087
1,1,1,401,901,Sucesso,63.883930683135986
1,1,1,401,1001,Sucesso,63.958852767944336
1,1,1,501,1,Sucesso,63.580031394958496
1,1,1,501,101,Sucesso,64.84090685844421
1,1,1,501,201,Sucesso,64.12014889717102
1,1,1,501,301,Sucesso,64.38579034805298
1,1,1,501,401,Sucesso,63.60003995895386
1,1,1,501,501,Sucesso,64.37848734855652
1,1,1,501,601,Sucesso,64.95508551597595
1,1,1,501,701,Sucesso,63.90050673484802
1,1,1,501,801,Sucesso,64.91244196891785
1,1,1,501,901,Sucesso,63.238773822784424
1,1,1,501,1001,Sucesso,65.65689253807068
1,1,1,601,1,Sucesso,71.78054666519165
1,1,1,601,101,Sucesso,65.31045579910278
1,1,1,601,201,Sucesso,64.30851578712463
1,1,1,601,301,Sucesso,63.66678524017334
1,1,1,601,401,Sucesso,63.4528226852417
1,1,1,601,501,Sucesso,64.07639765739441
1,1,1,601,601,Sucesso,65.05006122589111
1,1,1,601,701,Sucesso,64.96862363815308
1,1,1,601,801,Sucesso,65.7282497882843
1,1,1,601,901,Sucesso,65.45054936408997
1,1,1,601,1001,Sucesso,63.749457359313965
1,1,1,701,1,Sucesso,64.23498439788818
1,1,1,701,101,Sucesso,64.4098391532898
1,1,1,701,201,Sucesso,64.67165446281433
1,1,1,701,301,Sucesso,64.09069204330444
1,1,1,701,401,Sucesso,63.495949029922485
1,1,1,701,501,Sucesso,63.34860134124756
1,1,1,701,601,Sucesso,67.225994348526
1,1,1,701,701,Sucesso,85.18913269042969
1,1,1,701,801,Sucesso,63.781742095947266
1,1,1,701,901,Sucesso,66.8223705291748
1,1,1,701,1001,Sucesso,70.71980476379395
1,1,1,801,1,Sucesso,66.86980319023132
1,1,1,801,101,Sucesso,68.15571784973145
1,1,1,801,201,Sucesso,65.72485518455505
1,1,1,801,301,Sucesso,65.91941618919373
1,1,1,801,401,Sucesso,66.36338591575623
1,1,1,801,501,Sucesso,68.99183392524719
1,1,1,801,601,Sucesso,65.71453905105591
1,1,1,801,701,Sucesso,67.35668873786926
1,1,1,801,801,Sucesso,66.09593772888184
1,1,1,801,901,Sucesso,67.47613906860352
1,1,1,801,1001,Sucesso,65.45427346229553
1,1,1,901,1,Sucesso,65.9113552570343
1,1,1,901,101,Sucesso,67.22427773475647
1,1,1,901,201,Sucesso,67.01965737342834
1,1,1,901,301,Sucesso,68.55147171020508
1,1,1,901,401,Sucesso,67.0290162563324
1,1,1,901,501,Sucesso,65.84349846839905
1,1,1,901,601,Sucesso,63.73180103302002
1,1,1,901,701,Sucesso,63.33442950248718
1,1,1,901,801,Sucesso,65.08042502403259
