sigma,T_each_dim,n_picewise_models,page_size,tau,status,tempo_execucao
1,1,1,1,1,Erro,0.19420313835144043
1,1,1,1,101,Erro,0.18836116790771484
1,1,1,1,201,Erro,0.1891496181488037
1,1,1,1,301,Erro,0.21667814254760742
1,1,1,1,401,Erro,0.1925356388092041
1,1,1,1,501,Erro,0.1983203887939453
1,1,1,1,601,Erro,0.18517780303955078
1,1,1,1,701,Erro,0.18842864036560059
1,1,1,1,801,Erro,0.19661688804626465
1,1,1,1,901,Erro,0.2260298728942871
1,1,1,1,1001,Erro,0.19240355491638184
1,1,1,101,1,Erro,0.18578600883483887
1,1,1,101,101,Erro,0.1932680606842041
